id,funcao,tier,openai,anthropic,google_gemini_3_6_flash,google_gemini_3_8_flash
CT01,isLeapYear,facil,1.0,1.0,1.0,1.0
CT02,getISODay,facil,1.0,1.0,1.0,1.0
CT03,isWeekend,facil,1.0,1.0,1.0,1.0
CT04,daysToWeeks,facil,1.0,1.0,1.0,1.0
CT05,isValid,facil,1.0,1.0,1.0,1.0
CT06,getDayOfYear,facil,1.0,1.0,1.0,1.0
CT07,getQuarter,facil,1.0,1.0,1.0,1.0
CT08,differenceInSeconds,facil,1.0,1.0,1.0,1.0
CT09,isSameDay,facil,1.0,1.0,1.0,1.0
CT10,endOfISOWeek,facil,0.5,1.0,1.0,1.0
CT11,isSameWeek,medio,0.5,1.0,1.0,0.5
CT12,toDate,medio,1.0,1.0,1.0,1.0
CT13,compareAsc,medio,1.0,1.0,1.0,1.0
CT14,setYear,medio,1.0,1.0,1.0,1.0
CT15,addDays,medio,1.0,1.0,1.0,1.0
CT16,clamp,medio,1.0,1.0,1.0,1.0
CT17,areIntervalsOverlapping,medio,1.0,1.0,1.0,1.0
CT18,sub,medio,1.0,1.0,1.0,1.0
CT19,max,medio,1.0,1.0,1.0,1.0
CT20,startOfWeek,medio,1.0,1.0,1.0,1.0
CT21,getOverlappingDaysInIntervals,dificil,1.0,1.0,1.0,1.0
CT22,add,dificil,1.0,1.0,1.0,1.0
CT23,intervalToDuration,dificil,1.0,1.0,1.0,1.0
CT24,eachDayOfInterval,dificil,1.0,1.0,1.0,1.0
CT25,differenceInBusinessDays,dificil,1.0,1.0,1.0,1.0
CT26,differenceInMonths,dificil,1.0,1.0,1.0,1.0
CT27,formatDuration,dificil,1.0,1.0,1.0,1.0
CT28,eachWeekOfInterval,dificil,1.0,1.0,1.0,1.0
CT29,addBusinessDays,dificil,1.0,1.0,1.0,1.0
CT30,formatRelative,dificil,1.0,1.0,1.0,1.0
